,year,month,djia mean,yearmonth_str
0,1897,01,30,1897-01
1,1897,02,30,1897-02
2,1897,03,29,1897-03
3,1897,04,28,1897-04
4,1897,05,30,1897-05
5,1897,06,34,1897-06
6,1897,07,39,1897-07
7,1897,08,38,1897-08
8,1897,09,34,1897-09
9,1897,10,35,1897-10
10,1897,11,36,1897-11
11,1897,12,34,1897-12
12,1898,01,32,1898-01
13,1898,02,36,1898-02
14,1898,03,38,1898-03
15,1898,04,39,1898-04
16,1898,05,43,1898-05
17,1898,06,39,1898-06
18,1898,07,40,1898-07
19,1898,08,43,1898-08
20,1898,09,45,1898-09
21,1898,10,50,1898-10
22,1898,11,55,1898-11
23,1898,12,52,1898-12
24,1899,01,52,1899-01
25,1899,02,54,1899-02
26,1899,03,55,1899-03
27,1899,04,53,1899-04
28,1899,05,54,1899-05
29,1899,06,47,1899-06
30,1899,07,48,1899-07
31,1899,08,46,1899-08
32,1899,09,45,1899-09
33,1899,10,42,1899-10
34,1899,11,40,1899-11
35,1899,12,42,1899-12
36,1900,01,41,1900-01
37,1900,02,42,1900-02
38,1900,03,48,1900-03
39,1900,04,49,1900-04
40,1900,05,49,1900-05
41,1900,06,50,1900-06
42,1900,07,53,1900-07
43,1900,08,55,1900-08
44,1900,09,53,1900-09
45,1900,10,52,1900-10
46,1900,11,48,1900-11
47,1900,12,47,1900-12
48,1901,01,46,1901-01
49,1901,02,46,1901-02
50,1901,03,47,1901-03
51,1901,04,48,1901-04
52,1901,05,48,1901-05
53,1901,06,47,1901-06
54,1901,07,48,1901-07
55,1901,08,48,1901-08
56,1901,09,48,1901-09
57,1901,10,46,1901-10
58,1901,11,45,1901-11
59,1901,12,48,1901-12
60,1902,01,47,1902-01
61,1902,02,46,1902-02
62,1902,03,45,1902-03
63,1902,04,42,1902-04
64,1902,05,37,1902-05
65,1902,06,37,1902-06
66,1902,07,33,1902-07
67,1902,08,32,1902-08
68,1902,09,34,1902-09
69,1902,10,35,1902-10
70,1902,11,34,1902-11
71,1902,12,35,1902-12
72,1903,01,35,1903-01
73,1903,02,36,1903-02
74,1903,03,38,1903-03
75,1903,04,40,1903-04
76,1903,05,44,1903-05
77,1903,06,51,1903-06
78,1903,07,50,1903-07
79,1903,08,53,1903-08
80,1903,09,57,1903-09
81,1903,10,58,1903-10
82,1903,11,54,1903-11
83,1903,12,57,1903-12
84,1904,01,59,1904-01
85,1904,02,59,1904-02
86,1904,03,60,1904-03
87,1904,04,65,1904-04
88,1904,05,71,1904-05
