,date,nominal_price_USD
0,1915-01,19.25
1,1915-02,19.25
2,1915-03,19.25
3,1915-04,19.25
4,1915-05,19.25
5,1915-06,19.25
6,1915-07,19.25
7,1915-08,19.25
8,1915-09,19.25
9,1915-10,19.25
10,1915-11,19.25
11,1915-12,19.25
12,1916-01,19.47
13,1916-02,19.47
14,1916-03,19.47
15,1916-04,19.47
16,1916-05,19.47
17,1916-06,19.47
18,1916-07,19.47
19,1916-08,19.47
20,1916-09,19.47
21,1916-10,19.47
22,1916-11,19.47
23,1916-12,19.47
24,1917-01,19.66
25,1917-02,19.66
26,1917-03,19.66
27,1917-04,19.66
28,1917-05,19.66
29,1917-06,19.66
30,1917-07,19.66
31,1917-08,19.66
32,1917-09,19.66
33,1917-10,19.66
34,1917-11,19.66
35,1917-12,19.66
36,1918-01,19.84
37,1918-02,19.84
38,1918-03,19.84
39,1918-04,19.84
40,1918-05,19.84
41,1918-06,19.84
42,1918-07,19.84
43,1918-08,19.84
44,1918-09,19.84
45,1918-10,19.84
46,1918-11,19.84
47,1918-12,19.84
48,1919-01,20.03
49,1919-02,20.03
50,1919-03,20.03
51,1919-04,20.03
52,1919-05,20.03
53,1919-06,20.03
54,1919-07,20.03
55,1919-08,20.03
56,1919-09,20.03
57,1919-10,20.03
58,1919-11,20.03
59,1919-12,20.03
60,1920-01,20.63
61,1920-02,20.63
62,1920-03,20.63
63,1920-04,20.63
64,1920-05,20.63
65,1920-06,20.63
66,1920-07,20.63
67,1920-08,20.63
68,1920-09,20.63
69,1920-10,20.63
70,1920-11,20.63
71,1920-12,20.63
72,1921-01,20.69
73,1921-02,20.69
74,1921-03,20.69
75,1921-04,20.69
76,1921-05,20.69
77,1921-06,20.69
78,1921-07,20.69
79,1921-08,20.69
80,1921-09,20.69
81,1921-10,20.69
82,1921-11,20.69
83,1921-12,20.69
84,1922-01,20.84
85,1922-02,20.84
86,1922-03,20.84
87,1922-04,20.84
88,1922-05,20.84
89,1922-06,20.84
90,1922-07,20.84
91,1922-08,20.84
92,1922-09,20.84
93,1922-10,20.84
94,1922-11,20.84
95,1922-12,20.84
96,1923-01,20.75
97,1923-02,20.75
98,1923-03,20.75
99,1923-04,20.75
100,1923-05,20.75
101,1923-06,20.75
102,1923-07,20.75
103,1923-08,20.75
104,1923-09,20.75
105,1923-10,20.75
106,1923-11,20.75
107,1923-12,20.75
108,1924-01,20.78
109,1924-02,20.78
110,1924-03,20.78
111,1924-04,20.78
112,1924-05,20.78
113,1924-06,20.78
114,1924-07,20.78
115,1924-08,20.78
116,1924-09,20.78
117,1924-10,20.78
118,1924-11,20.78
119,1924-12,20.78
120,1925-01,20.75
121,1925-02,20.75
122,1925-03,20.75
123,1925-04,20.75
124,1925-05,20.75
125,1925-06,20.75
126,1925-07,20.75
127,1925-08,20.75
128,1925-09,20.75
129,1925-10,20.75
130,1925-11,20.75
131,1925-12,20.75
132,1926-01,20.72
133,1926-02,20.72
134,1926-03,20.72
135,1926-04,20.72
136,1926-05,20.72
137,1926-06,20.72
138,1926-07,20.72
139,1926-08,20.72
140,1926-09,20.72
141,1926-10,20.72
142,1926-11,20.72
143,1926-12,20.72
144,1927-01,20.75
145,1927-02,20.75
146,1927-03,20.75
147,1927-04,20.75
148,1927-05,20.75
149,1927-06,20.75
150,1927-07,20.75
151,1927-08,20.75
152,1927-09,20.75
153,1927-10,20.75
154,1927-11,20.75
155,1927-12,20.75
156,1928-01,20.78
157,1928-02,20.78
158,1928-03,20.78
159,1928-04,20.78
160,1928-05,20.78
161,1928-06,20.78
162,1928-07,20.78
163,1928-08,20.78
164,1928-09,20.78
165,1928-10,20.78
166,1928-11,20.78
167,1928-12,20.78
168,1929-01,20.72
169,1929-02,20.72
170,1929-03,20.72
171,1929-04,20.72
172,1929-05,20.72
173,1929-06,20.72
174,1929-07,20.72
175,1929-08,20.72
176,1929-09,20.72
177,1929-10,20.72
178,1929-11,20.72
179,1929-12,20.72
180,1930-01,20.69
181,1930-02,20.69
182,1930-03,20.69
183,1930-04,20.69
184,1930-05,20.69
185,1930-06,20.69
186,1930-07,20.69
187,1930-08,20.69
188,1930-09,20.69
189,1930-10,20.69
190,1930-11,20.69
191,1930-12,20.69
192,1931-01,22.59
193,1931-02,22.59
194,1931-03,22.59
195,1931-04,22.59
196,1931-05,22.59
197,1931-06,22.59
198,1931-07,22.59
199,1931-08,22.59
200,1931-09,22.59
201,1931-10,22.59
202,1931-11,22.59
203,1931-12,22.59
204,1932-01,20.78
205,1932-02,20.78
206,1932-03,20.78
207,1932-04,20.78
208,1932-05,20.78
209,1932-06,20.78
210,1932-07,20.78
211,1932-08,20.78
212,1932-09,20.78
213,1932-10,20.78
214,1932-11,20.78
215,1932-12,20.78
216,1933-01,26.47
217,1933-02,26.47
218,1933-03,26.47
219,1933-04,26.47
220,1933-05,26.47
221,1933-06,26.47
222,1933-07,26.47
223,1933-08,26.47
224,1933-09,26.47
225,1933-10,26.47
226,1933-11,26.47
227,1933-12,26.47
228,1934-01,35.0
229,1934-02,35.0
230,1934-03,35.0
231,1934-04,35.0
232,1934-05,35.0
233,1934-06,35.0
234,1934-07,35.0
235,1934-08,35.0
236,1934-09,35.0
237,1934-10,35.0
238,1934-11,35.0
239,1934-12,35.0
240,1935-01,35.0
241,1935-02,35.0
242,1935-03,35.0
243,1935-04,35.0
244,1935-05,35.0
245,1935-06,35.0
246,1935-07,35.0
247,1935-08,35.0
248,1935-09,35.0
249,1935-10,35.0
250,1935-11,35.0
251,1935-12,35.0
252,1936-01,35.0
253,1936-02,35.0
254,1936-03,35.0
255,1936-04,35.0
256,1936-05,35.0
257,1936-06,35.0
258,1936-07,35.0
259,1936-08,35.0
260,1936-09,35.0
261,1936-10,35.0
262,1936-11,35.0
263,1936-12,35.0
264,1937-01,35.0
265,1937-02,35.0
266,1937-03,35.0
267,1937-04,35.0
268,1937-05,35.0
269,1937-06,35.0
270,1937-07,35.0
271,1937-08,35.0
272,1937-09,35.0
273,1937-10,35.0
274,1937-11,35.0
275,1937-12,35.0
276,1938-01,35.0
277,1938-02,35.0
278,1938-03,35.0
279,1938-04,35.0
280,1938-05,35.0
281,1938-06,35.0
282,1938-07,35.0
283,1938-08,35.0
284,1938-09,35.0
285,1938-10,35.0
286,1938-11,35.0
287,1938-12,35.0
288,1939-01,34.69
289,1939-02,34.69
290,1939-03,34.69
291,1939-04,34.69
292,1939-05,34.69
293,1939-06,34.69
294,1939-07,34.69
295,1939-08,34.69
296,1939-09,34.69
297,1939-10,34.69
298,1939-11,34.69
299,1939-12,34.69
300,1940-01,34.06
301,1940-02,34.06
302,1940-03,34.06
303,1940-04,34.06
304,1940-05,34.06
305,1940-06,34.06
306,1940-07,34.06
307,1940-08,34.06
308,1940-09,34.06
309,1940-10,34.06
310,1940-11,34.06
311,1940-12,34.06
312,1941-01,34.06
313,1941-02,34.06
314,1941-03,34.06
315,1941-04,34.06
316,1941-05,34.06
317,1941-06,34.06
318,1941-07,34.06
319,1941-08,34.06
320,1941-09,34.06
321,1941-10,34.06
322,1941-11,34.06
323,1941-12,34.06
324,1942-01,34.06
325,1942-02,34.06
326,1942-03,34.06
327,1942-04,34.06
328,1942-05,34.06
329,1942-06,34.06
330,1942-07,34.06
331,1942-08,34.06
332,1942-09,34.06
333,1942-10,34.06
334,1942-11,34.06
335,1942-12,34.06
336,1943-01,34.06
337,1943-02,34.06
338,1943-03,34.06
339,1943-04,34.06
340,1943-05,34.06
341,1943-06,34.06
342,1943-07,34.06
343,1943-08,34.06
344,1943-09,34.06
345,1943-10,34.06
346,1943-11,34.06
347,1943-12,34.06
348,1944-01,34.06
349,1944-02,34.06
350,1944-03,34.06
351,1944-04,34.06
352,1944-05,34.06
353,1944-06,34.06
354,1944-07,34.06
355,1944-08,34.06
356,1944-09,34.06
357,1944-10,34.06
358,1944-11,34.06
359,1944-12,34.06
360,1945-01,35.0
361,1945-02,35.0
362,1945-03,35.0
363,1945-04,35.0
364,1945-05,35.0
365,1945-06,35.0
366,1945-07,35.0
367,1945-08,35.0
368,1945-09,35.0
369,1945-10,35.0
370,1945-11,35.0
371,1945-12,35.0
372,1946-01,35.0
373,1946-02,35.0
374,1946-03,35.0
375,1946-04,35.0
376,1946-05,35.0
377,1946-06,35.0
378,1946-07,35.0
379,1946-08,35.0
380,1946-09,35.0
381,1946-10,35.0
382,1946-11,35.0
383,1946-12,35.0
384,1947-01,35.0
385,1947-02,35.0
386,1947-03,35.0
387,1947-04,35.0
388,1947-05,35.0
389,1947-06,35.0
390,1947-07,35.0
391,1947-08,35.0
392,1947-09,35.0
393,1947-10,35.0
394,1947-11,35.0
395,1947-12,35.0
396,1948-01,35.0
397,1948-02,35.0
398,1948-03,35.0
399,1948-04,35.0
400,1948-05,35.0
401,1948-06,35.0
402,1948-07,35.0
403,1948-08,35.0
404,1948-09,35.0
405,1948-10,35.0
406,1948-11,35.0
407,1948-12,35.0
408,1949-01,31.88
409,1949-02,31.88
410,1949-03,31.88
411,1949-04,31.88
412,1949-05,31.88
413,1949-06,31.88
414,1949-07,31.88
415,1949-08,31.88
416,1949-09,31.88
417,1949-10,31.88
418,1949-11,31.88
419,1949-12,31.88
420,1950-01,35.0
421,1950-02,35.0
422,1950-03,35.0
423,1950-04,35.0
424,1950-05,35.0
425,1950-06,35.0
426,1950-07,35.0
427,1950-08,35.0
428,1950-09,35.0
429,1950-10,35.0
430,1950-11,35.0
431,1950-12,35.0
432,1951-01,35.0
433,1951-02,35.0
434,1951-03,35.0
435,1951-04,35.0
436,1951-05,35.0
437,1951-06,35.0
438,1951-07,35.0
439,1951-08,35.0
440,1951-09,35.0
441,1951-10,35.0
442,1951-11,35.0
443,1951-12,35.0
444,1952-01,34.69
445,1952-02,34.69
446,1952-03,34.69
447,1952-04,34.69
448,1952-05,34.69
449,1952-06,34.69
450,1952-07,34.69
451,1952-08,34.69
452,1952-09,34.69
453,1952-10,34.69
454,1952-11,34.69
455,1952-12,34.69
456,1953-01,35.0
457,1953-02,35.0
458,1953-03,35.0
459,1953-04,35.0
460,1953-05,35.0
461,1953-06,35.0
462,1953-07,35.0
463,1953-08,35.0
464,1953-09,35.0
465,1953-10,35.0
466,1953-11,35.0
467,1953-12,35.0
468,1954-01,35.31
469,1954-02,35.31
470,1954-03,35.31
471,1954-04,35.31
472,1954-05,35.31
473,1954-06,35.31
474,1954-07,35.31
475,1954-08,35.31
476,1954-09,35.31
477,1954-10,35.31
478,1954-11,35.31
479,1954-12,35.31
480,1955-01,35.31
481,1955-02,35.31
482,1955-03,35.31
483,1955-04,35.31
484,1955-05,35.31
485,1955-06,35.31
486,1955-07,35.31
487,1955-08,35.31
488,1955-09,35.31
489,1955-10,35.31
490,1955-11,35.31
491,1955-12,35.31
492,1956-01,35.31
493,1956-02,35.31
494,1956-03,35.31
495,1956-04,35.31
496,1956-05,35.31
497,1956-06,35.31
498,1956-07,35.31
499,1956-08,35.31
500,1956-09,35.31
501,1956-10,35.31
502,1956-11,35.31
503,1956-12,35.31
504,1957-01,35.0
505,1957-02,35.0
506,1957-03,35.0
507,1957-04,35.0
508,1957-05,35.0
509,1957-06,35.0
510,1957-07,35.0
511,1957-08,35.0
512,1957-09,35.0
513,1957-10,35.0
514,1957-11,35.0
515,1957-12,35.0
516,1958-01,35.31
517,1958-02,35.31
518,1958-03,35.31
519,1958-04,35.31
520,1958-05,35.31
521,1958-06,35.31
522,1958-07,35.31
523,1958-08,35.31
524,1958-09,35.31
525,1958-10,35.31
526,1958-11,35.31
527,1958-12,35.31
528,1959-01,35.31
529,1959-02,35.31
530,1959-03,35.31
531,1959-04,35.31
532,1959-05,35.31
533,1959-06,35.31
534,1959-07,35.31
535,1959-08,35.31
536,1959-09,35.31
537,1959-10,35.31
538,1959-11,35.31
539,1959-12,35.31
540,1960-01,35.31
541,1960-02,35.31
542,1960-03,35.31
543,1960-04,35.31
544,1960-05,35.31
545,1960-06,35.31
546,1960-07,35.31
547,1960-08,35.31
548,1960-09,35.31
549,1960-10,35.31
550,1960-11,35.31
551,1960-12,35.31
552,1961-01,35.31
553,1961-02,35.31
554,1961-03,35.31
555,1961-04,35.31
556,1961-05,35.31
557,1961-06,35.31
558,1961-07,35.31
559,1961-08,35.31
560,1961-09,35.31
561,1961-10,35.31
562,1961-11,35.31
563,1961-12,35.31
564,1962-01,35.31
565,1962-02,35.31
566,1962-03,35.31
567,1962-04,35.31
568,1962-05,35.31
569,1962-06,35.31
570,1962-07,35.31
571,1962-08,35.31
572,1962-09,35.31
573,1962-10,35.31
574,1962-11,35.31
575,1962-12,35.31
576,1963-01,35.31
577,1963-02,35.31
578,1963-03,35.31
579,1963-04,35.31
580,1963-05,35.31
581,1963-06,35.31
582,1963-07,35.31
583,1963-08,35.31
584,1963-09,35.31
585,1963-10,35.31
586,1963-11,35.31
587,1963-12,35.31
588,1964-01,35.31
589,1964-02,35.31
590,1964-03,35.31
591,1964-04,35.31
592,1964-05,35.31
593,1964-06,35.31
594,1964-07,35.31
595,1964-08,35.31
596,1964-09,35.31
597,1964-10,35.31
598,1964-11,35.31
599,1964-12,35.31
600,1965-01,35.31
601,1965-02,35.31
602,1965-03,35.31
603,1965-04,35.31
604,1965-05,35.31
605,1965-06,35.31
606,1965-07,35.31
607,1965-08,35.31
608,1965-09,35.31
609,1965-10,35.31
610,1965-11,35.31
611,1965-12,35.31
612,1966-01,35.31
613,1966-02,35.31
614,1966-03,35.31
615,1966-04,35.31
616,1966-05,35.31
617,1966-06,35.31
618,1966-07,35.31
619,1966-08,35.31
620,1966-09,35.31
621,1966-10,35.31
622,1966-11,35.31
623,1966-12,35.31
624,1967-01,35.31
625,1967-02,35.31
626,1967-03,35.31
627,1967-04,35.31
628,1967-05,35.31
629,1967-06,35.31
630,1967-07,35.31
631,1967-08,35.31
632,1967-09,35.31
633,1967-10,35.31
634,1967-11,35.31
635,1967-12,35.31
636,1968-01,40.31
637,1968-02,40.31
638,1968-03,40.31
639,1968-04,40.31
640,1968-05,40.31
641,1968-06,40.31
642,1968-07,40.31
643,1968-08,40.31
644,1968-09,40.31
645,1968-10,40.31
646,1968-11,40.31
647,1968-12,40.31
648,1969-01,41.88
649,1969-02,41.88
650,1969-03,41.88
651,1969-04,41.88
652,1969-05,41.88
653,1969-06,41.88
654,1969-07,41.88
655,1969-08,41.88
656,1969-09,41.88
657,1969-10,41.88
658,1969-11,41.88
659,1969-12,41.88
660,1970-01,36.56
661,1970-02,36.56
662,1970-03,36.56
663,1970-04,36.56
664,1970-05,36.56
665,1970-06,36.56
666,1970-07,36.56
667,1970-08,36.56
668,1970-09,36.56
669,1970-10,36.56
670,1970-11,36.56
671,1970-12,36.56
672,1971-01,37.88
673,1971-02,38.74
674,1971-03,38.87
675,1971-04,39.01
676,1971-05,40.52
677,1971-06,40.1
678,1971-07,40.95
679,1971-08,42.71
680,1971-09,42.03
681,1971-10,42.5
682,1971-11,42.86
683,1971-12,43.48
684,1972-01,45.75
685,1972-02,48.26
686,1972-03,48.33
687,1972-04,49.03
688,1972-05,54.62
689,1972-06,62.09
690,1972-07,65.66
691,1972-08,67.03
692,1972-09,65.46
693,1972-10,64.86
694,1972-11,62.91
695,1972-12,63.91
696,1973-01,65.14
697,1973-02,74.2
698,1973-03,84.46
699,1973-04,90.51
700,1973-05,102.56
701,1973-06,120.2
702,1973-07,119.92
703,1973-08,106.58
704,1973-09,102.67
705,1973-10,100.08
706,1973-11,95.22
707,1973-12,106.75
708,1974-01,129.51
709,1974-02,151.22
710,1974-03,168.58
711,1974-04,172.12
712,1974-05,162.95
713,1974-06,153.79
714,1974-07,143.99
715,1974-08,154.49
716,1974-09,151.42
717,1974-10,158.98
718,1974-11,182.5
719,1974-12,183.72
720,1975-01,176.52
721,1975-02,179.73
722,1975-03,178.04
723,1975-04,169.58
724,1975-05,167.27
725,1975-06,164.36
726,1975-07,165.17
727,1975-08,162.7
728,1975-09,143.83
729,1975-10,142.75
730,1975-11,142.28
731,1975-12,139.31
732,1976-01,131.25
733,1976-02,131.14
734,1976-03,132.51
735,1976-04,127.92
736,1976-05,126.89
737,1976-06,125.62
738,1976-07,117.51
739,1976-08,109.78
740,1976-09,114.38
741,1976-10,116.16
742,1976-11,130.64
743,1976-12,133.95
744,1977-01,132.2
745,1977-02,136.52
746,1977-03,148.38
747,1977-04,149.17
748,1977-05,146.5
749,1977-06,140.75
750,1977-07,143.43
751,1977-08,144.98
752,1977-09,149.75
753,1977-10,159.03
754,1977-11,162.05
755,1977-12,160.33
756,1978-01,173.35
757,1978-02,178.31
758,1978-03,183.68
759,1978-04,174.7
760,1978-05,176.64
761,1978-06,183.76
762,1978-07,189.25
763,1978-08,206.37
764,1978-09,212.29
765,1978-10,227.63
766,1978-11,205.33
767,1978-12,207.7
768,1979-01,227.33
769,1979-02,246.16
770,1979-03,241.84
771,1979-04,239.36
772,1979-05,258.27
773,1979-06,279.24
774,1979-07,294.86
775,1979-08,301.55
776,1979-09,357.41
777,1979-10,390.87
778,1979-11,393.14
779,1979-12,455.92
780,1980-01,677.97
781,1980-02,664.3
782,1980-03,550.62
783,1980-04,516.92
784,1980-05,515.61
785,1980-06,603.06
786,1980-07,643.46
787,1980-08,627.32
788,1980-09,674.84
789,1980-10,660.25
790,1980-11,623.33
791,1980-12,593.84
792,1981-01,555.83
793,1981-02,499.06
794,1981-03,499.87
795,1981-04,495.13
796,1981-05,479.37
797,1981-06,459.35
798,1981-07,408.61
799,1981-08,410.91
800,1981-09,444.1
801,1981-10,437.6
802,1981-11,412.71
803,1981-12,410.3
804,1982-01,383.95
805,1982-02,373.67
806,1982-03,329.51
807,1982-04,350.66
808,1982-05,333.21
809,1982-06,314.79
810,1982-07,339.9
