year,month,dow_average,month_int,gold_price,DOW_div_gold,dow_div_gold_monthly_change
1915,Jan,57.25,1,19.25,2.974207792,
1915,Feb,56.07,2,19.25,2.912842713,-0.06
1915,Mar,57.58,3,19.25,2.991236589,0.08
1915,Apr,66.79,4,19.25,3.469536178,0.48
1915,May,64.85,5,19.25,3.368675325,-0.10
1915,Jun,69.65,6,19.25,3.618252656,0.25
1915,Jul,71.79,7,19.25,3.729276438,0.11
1915,Aug,79.16,8,19.25,4.112136954,0.38
1915,Sep,84.00,9,19.25,4.363685838,0.25
1915,Oct,93.04,10,19.25,4.833168831,0.47
1915,Nov,95.18,11,19.25,4.944311688,0.11
1915,Dec,97.56,12,19.25,5.068232637,0.12
1916,Jan,95.18,1,19.47,4.888619855,-0.18
1916,Feb,94.13,2,19.47,4.834463277,-0.05
1916,Mar,93.52,3,19.47,4.803130792,-0.03
1916,Apr,91.23,4,19.47,4.685535101,-0.12
1916,May,90.91,5,19.47,4.66911799,-0.02
1916,Jun,91.00,6,19.47,4.674090676,0.00
1916,Jul,88.47,7,19.47,4.543939394,-0.13
1916,Aug,91.11,8,19.47,4.679506934,0.14
1916,Sep,98.12,9,19.47,5.039676425,0.36
1916,Oct,103.02,10,19.47,5.291241715,0.25
1916,Nov,107.62,11,19.47,5.527478172,0.24
1916,Dec,99.97,12,19.47,5.134488957,-0.39
1917,Jan,96.64,1,19.66,4.915541478,-0.22
1917,Feb,91.89,2,19.66,4.674126823,-0.24
1917,Mar,95.81,3,19.66,4.87355498,0.20
1917,Apr,92.95,4,19.66,4.727670397,-0.15
1917,May,92.81,5,19.66,4.720521594,-0.01
1917,Jun,96.88,6,19.66,4.927517803,0.21
1917,Jul,92.50,7,19.66,4.704912077,-0.22
1917,Aug,90.30,8,19.66,4.593192976,-0.11
1917,Sep,83.66,9,19.66,4.255394335,-0.34
1917,Oct,78.56,10,19.66,3.996023305,-0.26
1917,Nov,71.56,11,19.66,3.639699898,-0.36
1917,Dec,69.44,12,19.66,3.531968464,-0.11
1918,Jan,75.66,1,19.84,3.81374808,0.28
1918,Feb,79.83,2,19.84,4.023563508,0.21
1918,Mar,78.43,3,19.84,3.953326613,-0.07
1918,Apr,77.48,4,19.84,3.905196114,-0.05
1918,May,80.88,5,19.84,4.076612903,0.17
1918,Jun,80.67,6,19.84,4.065977823,-0.01
1918,Jul,81.66,7,19.84,4.115996151,0.05
1918,Aug,81.81,8,19.84,4.12335044,0.01
1918,Sep,82.41,9,19.84,4.153623727,0.03
1918,Oct,85.92,10,19.84,4.330513675,0.18
1918,Nov,84.47,11,19.84,4.257308468,-0.07
1918,Dec,82.39,12,19.84,4.152745776,-0.10
1919,Jan,81.61,1,20.03,4.074320338,-0.08
1919,Feb,82.28,2,20.03,4.108048454,0.03
1919,Mar,87.41,3,20.03,4.364028957,0.26
1919,Apr,91.08,4,20.03,4.54710791,0.18
1919,May,99.42,5,20.03,4.963354968,0.42
1919,Jun,105.27,6,20.03,5.255569027,0.29
1919,Jul,109.87,7,20.03,5.485181319,0.23
1919,Aug,102.56,8,20.03,5.120271973,-0.36
1919,Sep,107.74,9,20.03,5.378731902,0.26
1919,Oct,114.18,10,20.03,5.700381246,0.32
1919,Nov,110.71,11,20.03,5.527209186,-0.17
1919,Dec,105.55,12,20.03,5.26968638,-0.26
1920,Jan,104.54,1,20.63,5.0675161,-0.20
1920,Feb,94.36,2,20.63,4.573840685,-0.49
1920,Mar,99.50,3,20.63,4.82313642,0.25
1920,Apr,100.68,4,20.63,4.880225284,0.06
1920,May,91.32,5,20.63,4.426635967,-0.45
1920,Jun,91.26,6,20.63,4.423566739,0.00
1920,Jul,90.63,7,20.63,4.39320915,-0.03
1920,Aug,85.35,8,20.63,4.137244965,-0.26
1920,Sep,86.95,9,20.63,4.214966646,0.08
1920,Oct,84.94,10,20.63,4.117498788,-0.10
1920,Nov,78.64,11,20.63,3.811682016,-0.31
1920,Dec,71.75,12,20.63,3.47790259,-0.33
1921,Jan,75.05,1,20.69,3.627517319,0.15
1921,Feb,75.54,2,20.69,3.651140902,0.02
1921,Mar,75.35,3,20.69,3.642075662,-0.01
1921,Apr,76.68,4,20.69,3.706299339,0.06
1921,May,77.20,5,20.69,3.7315013,0.03
1921,Jun,69.00,6,20.69,3.335098203,-0.40
1921,Jul,68.53,7,20.69,3.312131464,-0.02
1921,Aug,66.79,8,20.69,3.227961418,-0.08
1921,Sep,70.13,9,20.69,3.389330019,0.16
1921,Oct,71.23,10,20.69,3.442484292,0.05
1921,Nov,75.92,11,20.69,3.669456386,0.23
1921,Dec,79.90,12,20.69,3.861699924,0.19
1922,Jan,80.84,1,20.84,3.879170094,0.02
1922,Feb,83.94,2,20.84,4.02788441,0.15
1922,Mar,87.34,3,20.84,4.190937161,0.16
1922,Apr,91.67,4,20.84,4.398575614,0.21
1922,May,93.68,5,20.84,4.495179724,0.10
1922,Jun,93.36,6,20.84,4.479824638,-0.02
1922,Jul,95.18,7,20.84,4.567394434,0.09
1922,Aug,98.27,8,20.84,4.715388467,0.15
1922,Sep,99.82,9,20.84,4.789731286,0.07
1922,Oct,100.28,10,20.84,4.811923042,0.02
1922,Nov,95.84,11,20.84,4.598824376,-0.21
1922,Dec,97.60,12,20.84,4.683205374,0.08
1923,Jan,97.92,1,20.75,4.71890471,0.04
1923,Feb,101.81,2,20.75,4.90669344,0.19
1923,Mar,104.40,3,20.75,5.031462995,0.12
1923,Apr,101.54,4,20.75,4.893448078,-0.14
1923,May,96.22,5,20.75,4.636998905,-0.26
1923,Jun,93.72,6,20.75,4.516787149,-0.12
1923,Jul,89.26,7,20.75,4.301640849,-0.22
1923,Aug,90.91,8,20.75,4.380998279,0.08
1923,Sep,90.27,9,20.75,4.350234623,-0.03
1923,Oct,87.72,10,20.75,4.227426068,-0.12
1923,Nov,91.03,11,20.75,4.386746988,0.16
1923,Dec,94.09,12,20.75,4.53453012,0.15
1924,Jan,97.33,1,20.78,4.683918103,0.15
1924,Feb,98.70,2,20.78,4.749784712,0.07
1924,Mar,96.32,3,20.78,4.6351116,-0.11
1924,Apr,91.59,4,20.78,4.407420138,-0.23
1924,May,90.44,5,20.78,4.352307622,-0.06
1924,Jun,92.54,6,20.78,4.453137174,0.10
1924,Jul,98.33,7,20.78,4.731844431,0.28
1924,Aug,103.27,8,20.78,4.969453229,0.24
1924,Sep,102.90,9,20.78,4.951808057,-0.02
1924,Oct,102.04,10,20.78,4.910687724,-0.04
1924,Nov,108.27,11,20.78,5.210244894,0.30
1924,Dec,114.09,12,20.78,5.490353487,0.28
1925,Jan,122.10,1,20.75,5.884130809,0.39
1925,Feb,120.95,2,20.75,5.828808568,-0.06
1925,Mar,120.78,3,20.75,5.82067908,-0.01
1925,Apr,119.80,4,20.75,5.773654618,-0.05
1925,May,126.26,5,20.75,6.084819277,0.31
1925,Jun,128.76,6,20.75,6.205125958,0.12
1925,Jul,133.52,7,20.75,6.434552122,0.23
1925,Aug,139.70,8,20.75,6.732690763,0.30
1925,Sep,143.83,9,20.75,6.931382674,0.20
1925,Oct,149.79,10,20.75,7.218864028,0.29
1925,Nov,153.83,11,20.75,7.413291059,0.19
1925,Dec,154.25,12,20.75,7.433625411,0.02
1926,Jan,156.53,1,20.72,7.554367761,0.12
1926,Feb,159.21,2,20.72,7.684014372,0.13
1926,Mar,146.50,3,20.72,7.070547255,-0.61
1926,Apr,140.44,4,20.72,6.778153153,-0.29
1926,May,140.15,5,20.72,6.764165058,-0.01
1926,Jun,149.11,6,20.72,7.196450509,0.43
1926,Jul,156.46,7,20.72,7.551204265,0.35
1926,Aug,163.01,8,20.72,7.86703668,0.32
1926,Sep,160.15,9,20.72,7.729132193,-0.14
1926,Oct,151.10,10,20.72,7.292664093,-0.44
1926,Nov,154.53,11,20.72,7.457818533,0.17
1926,Dec,159.14,12,20.72,7.680417996,0.22
1927,Jan,154.91,1,20.75,7.465656913,-0.21
1927,Feb,157.24,2,20.75,7.578034242,0.11
1927,Mar,160.21,3,20.75,7.721131482,0.14
1927,Apr,164.13,4,20.75,7.909686747,0.19
1927,May,169.03,5,20.75,8.14616179,0.24
1927,Jun,169.17,6,20.75,8.152702238,0.01
1927,Jul,175.50,7,20.75,8.457807229,0.31
1927,Aug,184.82,8,20.75,8.907134625,0.45
1927,Sep,195.88,9,20.75,9.439816408,0.53
1927,Oct,188.77,10,20.75,9.097156627,-0.34
1927,Nov,192.86,11,20.75,9.294385542,0.20
1927,Dec,198.27,12,20.75,9.554997131,0.26
1928,Jan,198.85,1,20.78,9.569374398,0.01
1928,Feb,195.62,2,20.78,9.413901327,-0.16
1928,Mar,203.96,3,20.78,9.815402987,0.40
1928,Apr,211.73,4,20.78,10.18932103,0.37
1928,May,217.20,5,20.78,10.4525549,0.26
1928,Jun,209.07,6,20.78,10.06106093,-0.39
1928,Jul,211.08,7,20.78,10.15761309,0.10
1928,Aug,224.02,8,20.78,10.78057605,0.62
1928,Sep,239.82,9,20.78,11.54074431,0.76
1928,Oct,248.72,10,20.78,11.96897905,0.43
1928,Nov,273.80,11,20.78,13.17634013,1.21
1928,Dec,280.78,12,20.78,13.5120308,0.34
1929,Jan,306.02,1,20.72,14.76908227,1.26
1929,Feb,309.94,2,20.72,14.95849421,0.19
1929,Mar,311.20,3,20.72,15.01910393,0.06
1929,Apr,307.91,4,20.72,14.86059549,-0.16
1929,May,314.97,5,20.72,15.2012177,0.34
1929,Jun,315.44,6,20.72,15.22393822,0.02
1929,Jul,343.79,7,20.72,16.59210722,1.37
1929,Aug,360.71,8,20.72,17.40885803,0.82
1929,Sep,364.95,9,20.72,17.61341699,0.20
1929,Oct,320.61,10,20.72,15.47334422,-2.14
1929,Nov,232.59,11,20.72,11.22558483,-4.25
1929,Dec,246.88,12,20.72,11.91505792,0.69
1930,Jan,251.92,1,20.69,12.17607912,0.26
1930,Feb,268.56,2,20.69,12.98013972,0.80
1930,Mar,276.96,3,20.69,13.38606536,0.41
1930,Apr,288.19,4,20.69,13.92883035,0.54
1930,May,269.10,5,20.69,13.00647656,-0.92
1930,Jun,239.29,6,20.69,11.56558724,-1.44
1930,Jul,231.69,7,20.69,11.1980667,-0.37
1930,Aug,230.78,8,20.69,11.15437409,-0.04
1930,Sep,231.50,9,20.69,11.18878685,0.03
1930,Oct,196.18,10,20.69,9.482098375,-1.71
1930,Nov,182.47,11,20.69,8.819273525,-0.66
1930,Dec,169.89,12,20.69,8.211324683,-0.61
1931,Jan,168.50,1,22.59,7.459052678,-0.75
1931,Feb,181.31,2,22.59,8.026077508,0.57
1931,Mar,181.87,3,22.59,8.05070317,0.02
1931,Apr,162.02,4,22.59,7.172377158,-0.88
1931,May,142.90,5,22.59,6.32580788,-0.85
1931,Jun,138.42,6,22.59,6.127626247,-0.20
1931,Jul,143.43,7,22.59,6.349133381,0.22
1931,Aug,138.78,8,22.59,6.143630606,-0.21
1931,Sep,118.83,9,22.59,5.260439723,-0.88
1931,Oct,101.96,10,22.59,4.513399394,-0.75
1931,Nov,104.02,11,22.59,4.604769328,0.09
1931,Dec,81.16,12,22.59,3.59291722,-1.01
1932,Jan,79.42,1,20.78,3.82213667,0.23
1932,Feb,80.02,2,20.78,3.850901787,0.03
1932,Mar,81.47,3,20.78,3.920374621,0.07
1932,Apr,62.69,4,20.78,3.016954172,-0.90
1932,May,53.31,5,20.78,2.565543792,-0.45
1932,Jun,46.88,6,20.78,2.256052417,-0.31
1932,Jul,46.19,7,20.78,2.222690087,-0.03
1932,Aug,67.48,8,20.78,3.247246284,1.02
1932,Sep,72.56,9,20.78,3.49201155,0.24
1932,Oct,63.55,10,20.78,3.05813282,-0.43
1932,Nov,62.14,11,20.78,2.990455566,-0.07
1932,Dec,59.17,12,20.78,2.847227364,-0.14
1933,Jan,61.90,1,26.47,2.338653822,-0.51
1933,Feb,56.11,2,26.47,2.119895594,-0.22
1933,Mar,57.58,3,26.47,2.175208832,0.06
1933,Apr,64.97,4,26.47,2.454508248,0.28
1933,May,81.63,5,26.47,3.084042893,0.63
1933,Jun,94.06,6,26.47,3.553369562,0.47
1933,Jul,100.37,7,26.47,3.791871301,0.24
1933,Aug,98.41,8,26.47,3.717744452,-0.07
1933,Sep,100.37,9,26.47,3.791871301,0.07
1933,Oct,92.84,10,26.47,3.50736683,-0.28
1933,Nov,96.39,11,26.47,3.641386475,0.13
1933,Dec,99.32,12,26.47,3.75217227,0.11
1934,Jan,102.69,1,35,2.933956044,-0.82
1934,Feb,107.27,2,35,3.064805195,0.13
1934,Mar,102.07,3,35,2.916373626,-0.15
1934,Apr,104.26,4,35,2.978857143,0.06
1934,May,95.28,5,35,2.722307692,-0.26
1934,Jun,96.73,6,35,2.763626374,0.04
1934,Jul,94.48,7,35,2.699314286,-0.06
1934,Aug,91.62,8,35,2.617671958,-0.08
1934,Sep,90.54,9,35,2.586904762,-0.03
1934,Oct,93.53,10,35,2.672307692,0.09
1934,Nov,99.29,11,35,2.83689441,0.16
1934,Dec,101.62,12,35,2.903428571,0.07
1935,Jan,103.09,1,35,2.945494505,0.04
1935,Feb,103.01,2,35,2.943246753,0.00
1935,Mar,99.85,3,35,2.852857143,-0.09
1935,Apr,105.98,4,35,3.028,0.18
1935,May,113.50,5,35,3.242857143,0.21
1935,Jun,116.85,6,35,3.338514286,0.10
1935,Jul,122.73,7,35,3.506593407,0.17
1935,Aug,127.15,8,35,3.632804233,0.13
1935,Sep,131.45,9,35,3.755714286,0.12
1935,Oct,135.43,10,35,3.869450549,0.11
1935,Nov,144.33,11,35,4.123850932,0.25
1935,Dec,141.70,12,35,4.048685714,-0.08
1936,Jan,145.93,1,35,4.16956044,0.12
1936,Feb,151.75,2,35,4.335652174,0.17
1936,Mar,155.91,3,35,4.454615385,0.12
1936,Apr,155.82,4,35,4.451885714,0.00
1936,May,149.31,5,35,4.265942857,-0.19
1936,Jun,155.20,6,35,4.434285714,0.17
1936,Jul,162.29,7,35,4.636923077,0.20
1936,Aug,165.87,8,35,4.739120879,0.10
1936,Sep,167.82,9,35,4.794742857,0.06
1936,Oct,175.02,10,35,5.00043956,0.21
1936,Nov,182.09,11,35,5.202597403,0.20
1936,Dec,180.02,12,35,5.143542857,-0.06
1937,Jan,183.48,1,35,5.242285714,0.10
1937,Feb,188.04,2,35,5.372467532,0.13
1937,Mar,188.40,3,35,5.382857143,0.01
1937,Apr,179.34,4,35,5.123956044,-0.26
1937,May,173.05,5,35,4.944404762,-0.18
1937,Jun,170.09,6,35,4.85967033,-0.08
1937,Jul,180.25,7,35,5.150057143,0.29
1937,Aug,184.38,8,35,5.268021978,0.12
1937,Sep,160.10,9,35,4.5744,-0.69
1937,Oct,138.60,10,35,3.959885714,-0.61
1937,Nov,125.09,11,35,3.574037267,-0.39
1937,Dec,125.55,12,35,3.587142857,0.01
1938,Jan,128.38,1,35,3.668114286,0.08
1938,Feb,126.08,2,35,3.602337662,-0.07
1938,Mar,119.08,3,35,3.402222222,-0.20
1938,Apr,112.85,4,35,3.224342857,-0.18
1938,May,114.22,5,35,3.263314286,0.04
1938,Jun,118.79,6,35,3.393956044,0.13
1938,Jul,139.47,7,35,3.9848,0.59
1938,Aug,140.97,8,35,4.027619048,0.04
1938,Sep,137.05,9,35,3.915771429,-0.11
1938,Oct,150.37,10,35,4.296228571,0.38
1938,Nov,151.97,11,35,4.341987578,0.05
1938,Dec,150.12,12,35,4.289230769,-0.05
1939,Jan,146.88,1,34.69,4.234188527,-0.06
1939,Feb,144.60,2,34.69,4.168217196,-0.07
1939,Mar,145.07,3,34.69,4.181800711,0.01
1939,Apr,127.73,4,34.69,3.682137023,-0.50
1939,May,132.56,5,34.69,3.821318491,0.14
1939,Jun,136.52,6,34.69,3.935295031,0.11
1939,Jul,139.26,7,34.69,4.014528683,0.08
1939,Aug,137.89,8,34.69,3.974995462,-0.04
1939,Sep,150.72,9,34.69,4.344767945,0.37
1939,Oct,152.16,10,34.69,4.386393773,0.04
1939,Nov,149.99,11,34.69,4.323636683,-0.06
1939,Dec,148.53,12,34.69,4.281695013,-0.04
1940,Jan,147.60,1,34.06,4.333416143,0.05
1940,Feb,147.28,2,34.06,4.324210473,-0.01
1940,Mar,147.14,3,34.06,4.319906048,0.00
1940,Apr,148.92,4,34.06,4.37226162,0.05
1940,May,130.77,5,34.06,3.839265549,-0.53
1940,Jun,119.48,6,34.06,3.507927187,-0.33
1940,Jul,122.23,7,34.06,3.588689643,0.08
1940,Aug,125.33,8,34.06,3.679672038,0.09
1940,Sep,131.46,9,34.06,3.859610491,0.18
1940,Oct,132.40,10,34.06,3.887370703,0.03
1940,Nov,133.90,11,34.06,3.93129771,0.04
1940,Dec,130.45,12,34.06,3.829947152,-0.10
1941,Jan,130.17,1,34.06,3.821762501,-0.01
1941,Feb,121.69,2,34.06,3.572839374,-0.25
1941,Mar,122.53,3,34.06,3.597610552,0.02
1941,Apr,119.11,4,34.06,3.497122725,-0.10
1941,May,116.44,5,34.06,3.418627761,-0.08
1941,Jun,121.58,6,34.06,3.569465649,0.15
1941,Jul,127.58,7,34.06,3.745765391,0.18
1941,Aug,126.68,8,34.06,3.719341434,-0.03
1941,Sep,127.35,9,34.06,3.738931298,0.02
1941,Oct,121.80,10,34.06,3.576155201,-0.16
1941,Nov,116.91,11,34.06,3.432445417,-0.14
1941,Dec,110.68,12,34.06,3.249695108,-0.18
1942,Jan,111.12,1,34.06,3.262455395,0.01
1942,Feb,107.29,2,34.06,3.149922596,-0.11
1942,Mar,101.62,3,34.06,2.983648765,-0.17
1942,Apr,97.80,4,34.06,2.871520846,-0.11
1942,May,98.42,5,34.06,2.889724016,0.02
1942,Jun,103.76,6,34.06,3.046320972,0.16
1942,Jul,106.95,7,34.06,3.139934053,0.09
1942,Aug,106.10,8,34.06,3.114978093,-0.02
1942,Sep,107.42,9,34.06,3.153728714,0.04
1942,Oct,113.51,10,34.06,3.332580514,0.18
1942,Nov,115.32,11,34.06,3.385736401,0.05
1942,Dec,117.17,12,34.06,3.439970188,0.05
1943,Jan,121.54,1,34.06,3.568408691,0.13
1943,Feb,127.41,2,34.06,3.740724924,0.17
1943,Mar,131.15,3,34.06,3.850503469,0.11
1943,Apr,134.13,4,34.06,3.938109219,0.09
1943,May,138.61,5,34.06,4.069524369,0.13
1943,Jun,141.25,6,34.06,4.147206288,0.08
1943,Jul,142.91,7,34.06,4.195763133,0.05
1943,Aug,136.34,8,34.06,4.002890826,-0.19
1943,Sep,138.90,9,34.06,4.078097475,0.08
1943,Oct,138.26,10,34.06,4.059189665,-0.02
1943,Nov,132.68,11,34.06,3.895555158,-0.16
1943,Dec,134.57,12,34.06,3.951059217,0.06
1944,Jan,137.76,1,34.06,4.044509689,0.09
1944,Feb,135.98,2,34.06,3.992315351,-0.05
1944,Mar,139.07,3,34.06,4.082990801,0.09
1944,Apr,137.20,4,34.06,4.028063222,-0.05
1944,May,139.23,5,34.06,4.087695921,0.06
1944,Jun,145.46,6,34.06,4.270631013,0.18
1944,Jul,148.37,7,34.06,4.35607751,0.09
1944,Aug,146.74,8,34.06,4.308162067,-0.05
1944,Sep,145.21,9,34.06,4.263309845,-0.04
1944,Oct,147.68,10,34.06,4.335995302,0.07
1944,Nov,146.87,11,34.06,4.312211187,-0.02
1944,Dec,150.34,12,34.06,4.413975338,0.10
1945,Jan,153.96,1,35,4.398901099,-0.02
1945,Feb,157.14,2,35,4.48961039,0.09
1945,Mar,157.23,3,35,4.492307692,0.00
1945,Apr,160.47,4,35,4.584880952,0.09
1945,May,165.58,5,35,4.730769231,0.15
1945,Jun,167.33,6,35,4.780879121,0.05
1945,Jul,163.92,7,35,4.683401361,-0.10
1945,Aug,166.17,8,35,4.747619048,0.06
1945,Sep,177.96,9,35,5.084596273,0.34
1945,Oct,185.08,10,35,5.287857143,0.20
1945,Nov,190.22,11,35,5.434906832,0.15
1945,Dec,192.74,12,35,5.506904762,0.07
1946,Jan,199.00,1,35,5.685824176,0.18
1946,Feb,199.41,2,35,5.69755102,0.01
1946,Mar,194.38,3,35,5.553736264,-0.14
1946,Apr,205.80,4,35,5.880114286,0.33
1946,May,206.64,5,35,5.904,0.02
1946,Jun,207.33,6,35,5.923571429,0.02
1946,Jul,202.28,7,35,5.779350649,-0.14
1946,Aug,199.45,8,35,5.698571429,-0.08
1946,Sep,172.74,9,35,4.935285714,-0.76
1946,Oct,169.48,10,35,4.842307692,-0.09
1946,Nov,168.94,11,35,4.826832298,-0.02
1946,Dec,174.39,12,35,4.982628571,0.16
1947,Jan,176.11,1,35,5.031648352,0.05
1947,Feb,181.54,2,35,5.186883117,0.16
1947,Mar,176.68,3,35,5.047912088,-0.14
1947,Apr,171.28,4,35,4.8936,-0.15
1947,May,168.69,5,35,4.819657143,-0.07
1947,Jun,173.76,6,35,4.96462585,0.14
1947,Jul,183.53,7,35,5.243636364,0.28
1947,Aug,180.08,8,35,5.145170068,-0.10
1947,Sep,176.81,9,35,5.051836735,-0.09
1947,Oct,181.92,10,35,5.197692308,0.15
1947,Nov,181.45,11,35,5.184155844,-0.01
1947,Dec,179.18,12,35,5.119340659,-0.06
1948,Jan,176.26,1,35,5.036114286,-0.08
1948,Feb,168.65,2,35,4.818592593,-0.22
1948,Mar,169.95,3,35,4.855604396,0.04
1948,Apr,180.06,4,35,5.144615385,0.29
1948,May,186.39,5,35,5.325357143,0.18
1948,Jun,191.06,6,35,5.458961039,0.13
1948,Jul,187.07,7,35,5.344761905,-0.11
1948,Aug,181.77,8,35,5.193506494,-0.15
1948,Sep,180.34,9,35,5.152517007,-0.04
1948,Oct,185.19,10,35,5.291085714,0.14
1948,Nov,176.60,11,35,5.045838509,-0.25
1948,Dec,176.32,12,35,5.037582418,-0.01
1949,Jan,179.75,1,31.88,5.638268507,0.60
1949,Feb,174.45,2,31.88,5.472225391,-0.17
1949,Mar,175.88,3,31.88,5.51698499,0.04
1949,Apr,175.65,4,31.88,5.5097867,-0.01
1949,May,174.03,5,31.88,5.458751568,-0.05
1949,Jun,165.60,6,31.88,5.194479297,-0.26
1949,Jul,173.34,7,31.88,5.437264743,0.24
1949,Aug,179.25,8,31.88,5.622579237,0.19
1949,Sep,180.92,9,31.88,5.675001494,0.05
1949,Oct,186.47,10,31.88,5.849184442,0.17
1949,Nov,191.61,11,31.88,6.010310403,0.16
1949,Dec,196.78,12,31.88,6.172521957,0.16
1950,Jan,199.75,1,35,5.7072,-0.47
1950,Feb,203.46,2,35,5.813116883,0.11
1950,Mar,206.30,3,35,5.894285714,0.08
1950,Apr,212.67,4,35,6.076309524,0.18
1950,May,219.36,5,35,6.267472527,0.19
1950,Jun,221.02,6,35,6.314805195,0.05
1950,Jul,205.31,7,35,5.866,-0.45
1950,Aug,216.61,8,35,6.188819876,0.32
1950,Sep,223.20,9,35,6.377142857,0.19
1950,Oct,229.19,10,35,6.548331797,0.17
1950,Nov,229.38,11,35,6.553664596,0.01
1950,Dec,229.25,12,35,6.550119048,0.00
1951,Jan,244.45,1,35,6.984285714,0.43
1951,Feb,253.32,2,35,7.237792208,0.25
1951,Mar,249.50,3,35,7.128461538,-0.11
1951,Apr,253.36,4,35,7.238971429,0.11
1951,May,254.36,5,35,7.267472527,0.03
1951,Jun,249.32,6,35,7.123401361,-0.14
1951,Jul,253.61,7,35,7.245986395,0.12
1951,Aug,264.93,8,35,7.569440994,0.32
1951,Sep,273.37,9,35,7.810526316,0.24
1951,Oct,269.73,10,35,7.706703297,-0.10
1951,Nov,259.61,11,35,7.417515528,-0.29
