Year,British Official Price,New York Market Price,London Market Price
,(British pounds per fine ounce,(U.S. dollars per fine ounce),(British £ [1718-1949] or
,end of year),,U.S. $ [1950-Present] per fine ounce)
1259,0.89,,£
1260,0.89,,£
1261,0.89,,£
1262,0.89,,£
1263,0.89,,£
1264,0.89,,£
1265,1.07,,£
1266,1.07,,£
1267,1.07,,£
1268,1.07,,£
1269,1.07,,£
1270,1.07,,£
1271,1.07,,£
1272,1.07,,£
1273,1.07,,£
1274,1.07,,£
1275,1.07,,£
1276,1.07,,£
1277,1.07,,£
1278,1.07,,£
1279,1.07,,£
1280,1.07,,£
1281,1.07,,£
1282,1.07,,£
1283,1.07,,£
1284,1.07,,£
1285,1.07,,£
1286,1.07,,£
1287,1.07,,£
1288,1.07,,£
1289,1.07,,£
1290,1.07,,£
1291,1.07,,£
1292,1.07,,£
1293,1.07,,£
1294,1.07,,£
1295,1.07,,£
1296,1.07,,£
1297,1.07,,£
1298,1.07,,£
1299,1.07,,£
1300,1.07,,£
1301,1.07,,£
1302,1.07,,£
1303,1.07,,£
1304,1.07,,£
1305,1.07,,£
1306,1.07,,£
1307,1.07,,£
1308,1.07,,£
1309,1.07,,£
1310,1.07,,£
1311,1.07,,£
1312,1.07,,£
1313,1.07,,£
1314,1.07,,£
1315,1.07,,£
1316,1.07,,£
1317,1.07,,£
1318,1.07,,£
1319,1.07,,£
1320,1.07,,£
1321,1.07,,£
1322,1.07,,£
1323,1.07,,£
1324,1.07,,£
1325,1.07,,£
1326,1.07,,£
1327,1.07,,£
1328,1.07,,£
1329,1.07,,£
1330,1.07,,£
1331,1.07,,£
1332,1.07,,£
1333,1.07,,£
1334,1.07,,£
1335,1.07,,£
1336,1.07,,£
1337,1.07,,£
1338,1.07,,£
1339,1.07,,£
1340,1.07,,£
1341,1.07,,£
1342,1.07,,£
1343,1.33,,£
1344,1.17,,£
1345,1.17,,£
1346,1.24,,£
1347,1.24,,£
1348,1.24,,£
1349,1.25,,£
1350,1.25,,£
1351,1.34,,£
1352,1.34,,£
1353,1.34,,£
1354,1.34,,£
1355,1.34,,£
1356,1.34,,£
1357,1.34,,£
1358,1.34,,£
1359,1.34,,£
1360,1.34,,£
1361,1.34,,£
1362,1.34,,£
1363,1.34,,£
1364,1.34,,£
1365,1.34,,£
1366,1.34,,£
1367,1.34,,£
1368,1.34,,£
1369,1.34,,£
1370,1.34,,£
1371,1.34,,£
1372,1.34,,£
1373,1.34,,£
1374,1.34,,£
1375,1.34,,£
1376,1.34,,£
1377,1.34,,£
1378,1.34,,£
1379,1.34,,£
1380,1.34,,£
1381,1.34,,£
1382,1.34,,£
1383,1.34,,£
1384,1.34,,£
1385,1.34,,£
1386,1.34,,£
1387,1.34,,£
1388,1.34,,£
1389,1.34,,£
1390,1.34,,£
1391,1.34,,£
1392,1.34,,£
1393,1.34,,£
1394,1.34,,£
1395,1.34,,£
1396,1.34,,£
1397,1.34,,£
1398,1.34,,£
1399,1.34,,£
1400,1.34,,£
1401,1.34,,£
1402,1.34,,£
1403,1.34,,£
1404,1.34,,£
1405,1.34,,£
1406,1.34,,£
1407,1.34,,£
1408,1.34,,£
1409,1.43,,£
1410,1.43,,£
1411,1.43,,£
1412,1.49,,£
1413,1.49,,£
1414,1.49,,£
1415,1.49,,£
1416,1.49,,£
1417,1.49,,£
1418,1.49,,£
1419,1.49,,£
1420,1.49,,£
1421,1.49,,£
1422,1.49,,£
1423,1.49,,£
1424,1.49,,£
1425,1.49,,£
1426,1.49,,£
1427,1.49,,£
1428,1.49,,£
1429,1.49,,£
1430,1.49,,£
1431,1.49,,£
1432,1.49,,£
1433,1.49,,£
1434,1.49,,£
1435,1.49,,£
1436,1.49,,£
1437,1.49,,£
1438,1.49,,£
1439,1.49,,£
1440,1.49,,£
1441,1.49,,£
1442,1.49,,£
1443,1.49,,£
1444,1.49,,£
1445,1.49,,£
1446,1.49,,£
1447,1.49,,£
1448,1.49,,£
1449,1.49,,£
1450,1.49,,£
1451,1.49,,£
1452,1.49,,£
1453,1.49,,£
1454,1.49,,£
1455,1.49,,£
1456,1.49,,£
1457,1.49,,£
1458,1.49,,£
1459,1.49,,£
1460,1.49,,£
1461,1.49,,£
1462,1.49,,£
1463,1.49,,£
1464,1.86,,£
1465,2.01,,£
1466,2.01,,£
1467,2.01,,£
1468,2.01,,£
1469,2.01,,£
1470,2.01,,£
1471,2.01,,£
1472,2.01,,£
1473,2.01,,£
1474,2.01,,£
1475,2.01,,£
1476,2.01,,£
1477,2.01,,£
1478,2.01,,£
1479,2.01,,£
1480,2.01,,£
1481,2.01,,£
1482,2.01,,£
1483,2.01,,£
1484,2.01,,£
1485,2.01,,£
1486,2.01,,£
1487,2.01,,£
1488,2.01,,£
1489,2.01,,£
1490,2.01,,£
1491,2.01,,£
1492,2.01,,£
1493,2.01,,£
1494,2.01,,£
1495,2.01,,£
1496,2.01,,£
1497,2.01,,£
1498,2.01,,£
1499,2.01,,£
1500,2.01,,£
1501,2.01,,£
1502,2.01,,£
1503,2.01,,£
1504,2.01,,£
1505,2.01,,£
1506,2.01,,£
1507,2.01,,£
1508,2.01,,£
1509,2.01,,£
1510,2.01,,£
1511,2.01,,£
1512,2.01,,£
1513,2.01,,£
1514,2.01,,£
1515,2.01,,£
1516,2.01,,£
1517,2.01,,£
1518,2.01,,£
1519,2.01,,£
1520,2.01,,£
1521,2.01,,£
1522,2.01,,£
1523,2.01,,£
1524,2.01,,£
1525,2.01,,£
1526,2.26,,£
1527,2.26,,£
1528,2.26,,£
1529,2.26,,£
1530,2.26,,£
1531,2.26,,£
1532,2.26,,£
1533,2.28,,£
1534,2.28,,£
1535,2.28,,£
1536,2.28,,£
1537,2.28,,£
1538,2.28,,£
1539,2.28,,£
1540,2.28,,£
1541,2.28,,£
1542,2.28,,£
1543,2.28,,£
1544,2.5,,£
1545,2.73,,£
1546,3,,£
1547,3,,£
1548,3,,£
1549,3.09,,£
1550,3.09,,£
1551,3.02,,£
1552,3.02,,£
1553,3.02,,£
1554,3.02,,£
1555,3.02,,£
1556,3.02,,£
1557,3.02,,£
1558,3.02,,£
1559,3.02,,£
1560,3.02,,£
1561,3.02,,£
1562,3.02,,£
1563,3.02,,£
